iter	Passed	Remaining
1426	69983	518524
1427	70035	518498
1428	70080	518416
1429	70130	518374
1430	70173	518285
1431	70220	518218
1432	70272	518192
1433	70315	518099
1434	70360	518021
1435	70407	517957
1436	70453	517884
1437	70500	517824
1438	70549	517768
1439	70597	517717
1440	70646	517665
1441	70703	517671
1442	70758	517668
1443	70806	517611
1444	70854	517555
1445	70906	517530
1446	70955	517478
1447	70997	517382
1448	71055	517392
1449	71103	517337
1450	71152	517289
1451	71203	517252
1452	71252	517205
1453	71298	517136
1454	71351	517114
1455	71402	517080
1456	71453	517041
1457	71500	516983
1458	71555	516975
1459	71607	516947
1460	71651	516861
1461	71699	516801
1462	71742	516709
1463	71793	516678
1464	71851	516694
1465	71897	516620
1466	71950	516598
1467	72003	516579
1468	72054	516543
1469	72100	516472
1470	72151	516441
1471	72206	516430
1472	72257	516401
1473	72311	516383
1474	72360	516337
1475	72416	516336
1476	72467	516297
1477	72514	516233
1478	72559	516158
1479	72606	516094
1480	72656	516054
1481	72705	516001
1482	72757	515976
1483	72808	515942
1484	72861	515917
1485	72910	515866
1486	72967	515876
1487	73018	515843
1488	73070	515812
1489	73119	515764
1490	73171	515735
1491	73217	515662
1492	73260	515573
1493	73307	515504
1494	73353	515434
1495	73403	515392
1496	73458	515383
1497	73506	515328
1498	73560	515318
1499	73604	515232
1500	73658	515215
1501	73710	515185
1502	73755	515113
1503	73806	515072
1504	73862	515072
1505	73907	514995
1506	73962	514989
1507	74009	514923
1508	74050	514821
1509	74103	514797
1510	74148	514718
1511	74202	514706
1512	74254	514678
1513	74308	514665
1514	74363	514652
1515	74415	514625
1516	74461	514557
1517	74510	514507
1518	74561	514471
1519	74611	514424
1520	74654	514338
1521	74707	514311
1522	74760	514289
1523	74807	514227
1524	74859	514198
1525	74912	514173
1526	74958	514108
1527	75007	514054
1528	75061	514042
1529	75113	514008
1530	75159	513940
1531	75205	513868
1532	75249	513786
1533	75297	513733
1534	75350	513710
1535	75402	513679
1536	75452	513637
1537	75502	513590
1538	75557	513584
1539	75616	513604
1540	75667	513565
1541	75720	513547
1542	75768	513489
1543	75813	513413
1544	75862	513363
1545	75912	513320
1546	75964	513288
1547	76017	513265
1548	76061	513183
1549	76109	513124
1550	76151	513028
1551	76199	512974
1552	76240	512868
1553	76289	512815
1554	76341	512789
1555	76387	512720
1556	76439	512689
1557	76486	512628
1558	76526	512519
1559	76574	512462
1560	76623	512409
1561	76673	512367
1562	76728	512357
1563	76781	512335
1564	76832	512299
1565	76874	512204
1566	76928	512187
1567	76974	512118
1568	77022	512057
1569	77079	512065
1570	77130	512024
1571	77177	511966
1572	77226	511912
1573	77275	511864
1574	77322	511799
1575	77378	511795
1576	77428	511757
1577	77479	511715
1578	77530	511684
1579	77587	511682
1580	77640	511661
1581	77699	511674
1582	77755	511673
1583	77807	511641
1584	77856	511592
1585	77904	511533
1586	77954	511493
1587	78011	511497
1588	78067	511491
1589	78117	511451
1590	78161	511367
1591	78211	511320
1592	78262	511284
1593	78316	511269
1594	78368	511239
1595	78418	511196
1596	78465	511131
1597	78512	511065
1598	78562	511026
1599	78606	510942
1600	78658	510914
1601	78712	510892
1602	78758	510823
1603	78814	510820
1604	78866	510790
1605	78914	510734
1606	78962	510675
1607	79009	510611
1608	79051	510519
1609	79105	510502
1610	79151	510428
1611	79207	510423
1612	79250	510336
1613	79304	510318
1614	79355	510281
1615	79399	510201
1616	79444	510122
1617	79487	510037
1618	79540	510015
1619	79589	509960
1620	79630	509862
1621	79671	509761
1622	79719	509703
1623	79773	509686
1624	79824	509651
1625	79875	509613
1626	79920	509538
1627	79964	509451
1628	80019	509440
1629	80069	509401
1630	80124	509384
1631	80169	509312
1632	80225	509309
1633	80276	509269
1634	80328	509237
1635	80375	509174
1636	80420	509099
1637	80472	509071
1638	80524	509041
1639	80576	509010
1640	80630	508988
1641	80688	508993
1642	80734	508928
1643	80787	508903
1644	80839	508872
1645	80889	508829
1646	80944	508812
1647	80997	508791
1648	81048	508750
1649	81100	508724
1650	81148	508663
1651	81203	508652
1652	81266	508688
1653	81326	508707
1654	81386	508729
1655	81438	508696
1656	81485	508632
1657	81534	508581
1658	81579	508509
1659	81637	508511
1660	81688	508476
1661	81738	508431
1662	81779	508332
1663	81830	508292
